sequence1,sequence2,max_length,is_duplicate
2 3 3 2 4 4 4 4 4 4 2 2 3 4 4 2 0 0 0 1 1 -1 -1 0 0 3 1 1 1 1 1 3 2 2 4 0 3 0 0 3 4 4 2 1 0 0 4 4 2 0 1 1 ,-1 3 3 2 2 4 4 4 4 4 3 3 ,60,1
-1 3 3 2 3 2 4 4 4 3 4 4 3 0 0 1 1 1 -1 -1 0 1 1 1 3 2 2 4 0 0 0 0 0 0 3 4 1 0 1 1 1 2 1 1 1 0 0 3 ,4 4 4 4 2 2 3 3 3 0 0 0 4 1 1 1 0 1 2 2 2 2 1 0 ,48,1
-1 2 2 2 4 4 2 3 3 3 3 4 4 4 0 0 0 0 1 1 1 -1 -1 -1 0 0 1 1 1 1 1 3 2 2 2 4 1 4 2 1 1 0 0 0 1 1 4 3 1 3 3 3 ,-1 -1 3 2 4 4 3 3 3 3 3 3 3 0 0 ,53,1
3 3 4 4 2 4 4 3 4 2 2 3 1 1 -1 -1 -1 -1 0 1 1 1 3 2 2 4 0 0 1 3 0 0 1 4 2 2 4 0 0 0 1 2 0 0 4 3 3 3 ,-1 2 4 4 4 3 3 3 3 3 3 0 1 4 1 0 0 0 0 2 4 4 4 ,48,1
2 2 3 3 4 4 4 4 2 3 3 4 4 2 0 0 1 1 1 1 -1 -1 -1 0 0 1 4 1 1 3 3 2 2 4 0 0 1 1 3 3 0 4 2 1 0 0 0 4 3 1 1 4 1 1 3 3 ,2 4 4 4 4 4 2 3 3 3 3 3 3 0 0 0 1 4 ,56,1
3 2 2 4 2 4 3 3 3 4 4 2 0 0 0 0 1 4 -1 -1 -1 0 1 1 4 3 2 2 1 0 0 0 1 1 0 3 0 0 4 2 1 3 0 1 1 1 2 2 3 4 3 1 3 3 ,2 2 3 4 4 4 4 4 4 3 3 3 3 3 3 3 1 1 1 4 3 0 2 2 4 2 1 0 1 3 0 0 0 1 3 ,54,1
-1 -1 3 2 2 3 2 2 2 2 4 2 0 3 1 1 4 -1 -1 -1 -1 -1 0 1 1 1 3 2 1 1 0 0 1 0 4 4 2 0 1 4 2 3 3 3 1 1 3 3 3 ,-1 -1 4 4 4 4 2 3 3 3 3 3 3 3 0 0 0 1 1 1 0 0 1 ,53,1
-1 -1 3 2 2 4 4 2 4 4 3 4 4 4 3 0 1 -1 -1 -1 -1 0 0 0 1 1 3 3 2 0 0 0 1 0 0 0 0 3 4 4 2 1 0 0 1 1 1 3 1 1 0 1 ,-1 3 2 2 3 2 4 4 3 3 3 3 3 3 3 0 0 1 1 1 1 1 1 1 0 0 1 0 2 4 2 4 4 2 2 4 0 4 0 0 1 0 ,59,1
2 4 4 2 4 4 4 4 3 3 3 4 3 4 1 -1 -1 0 0 4 1 4 3 3 3 2 2 3 3 1 0 0 0 4 2 1 0 0 1 1 1 2 1 1 0 0 4 3 3 3 3 ,-1 -1 3 3 3 3 4 4 4 2 3 3 3 0 0 1 1 1 4 0 1 1 0 0 0 2 4 4 2 2 2 ,53,1
-1 2 3 2 2 4 4 4 4 2 4 2 2 3 3 3 3 3 4 4 2 3 4 1 1 1 -1 -1 0 0 1 3 3 3 3 2 2 1 3 0 1 0 0 0 0 4 4 2 1 0 4 2 2 1 1 1 3 3 3 3 ,3 4 2 3 3 3 3 0 1 1 1 1 1 0 0 1 0 2 2 4 4 2 2 2 4 0 1 0 1 0 ,60,1
-1 3 3 3 4 2 4 2 3 3 3 3 2 1 1 -1 -1 0 0 0 1 1 1 1 3 3 2 1 3 0 0 4 0 0 3 1 4 4 2 1 1 3 4 1 1 3 1 1 4 1 3 ,-1 -1 3 2 4 4 4 4 4 ,51,1
2 2 4 4 4 2 4 4 4 2 3 3 4 4 2 3 1 1 1 1 -1 -1 -1 1 4 3 2 2 1 0 1 3 1 1 4 2 2 1 3 3 3 3 1 1 4 3 1 1 ,-1 2 4 4 3 3 3 3 3 1 1 1 4 1 1 1 0 2 4 ,48,1
-1 -1 3 3 2 4 4 3 3 3 4 4 2 1 1 -1 -1 -1 -1 0 0 0 1 1 4 3 2 2 2 1 1 0 3 0 0 3 1 1 1 0 3 1 1 2 2 3 3 4 0 1 3 3 3 ,2 2 2 4 4 4 4 3 3 3 3 0 0 0 0 4 1 1 1 1 1 1 0 4 0 4 2 1 0 1 0 0 0 0 ,53,1
-1 3 3 2 2 2 4 4 4 2 4 4 2 3 3 4 4 4 2 2 0 4 1 1 -1 -1 3 3 1 3 3 2 2 2 1 0 0 0 0 0 0 1 4 1 1 0 0 1 1 3 4 0 0 3 ,-1 3 4 4 4 ,54,1
-1 3 2 4 3 4 0 0 0 1 -1 -1 0 4 1 1 1 3 3 2 2 0 3 1 1 0 0 4 4 2 1 0 0 0 4 3 3 1 1 4 3 3 ,-1 3 3 4 4 4 4 3 ,47,1
-1 2 3 4 2 4 3 4 4 2 0 0 0 0 4 1 -1 -1 0 0 1 1 1 1 1 1 3 2 2 2 1 3 3 3 1 4 0 0 4 1 2 1 1 0 4 3 3 ,-1 3 3 3 3 3 0 0 0 1 1 0 1 3 0 0 ,47,1
-1 3 2 2 4 2 2 3 3 4 4 0 0 0 0 1 1 1 -1 -1 -1 0 0 0 1 1 1 1 3 1 0 3 1 0 0 3 0 4 4 2 1 0 0 0 1 1 1 3 1 1 0 4 3 3 ,-1 2 2 4 4 4 3 3 3 3 3 3 3 0 1 1 4 1 3 1 0 0 0 2 2 4 4 2 4 2 4 0 1 3 1 0 1 4 3 ,55,1
3 2 3 4 4 4 2 2 3 4 4 2 2 0 0 3 1 4 -1 -1 0 1 1 1 1 3 3 2 0 0 3 0 0 0 0 4 4 3 1 1 2 1 1 1 0 1 3 ,-1 3 2 4 4 2 3 3 3 3 3 3 3 3 1 ,47,1
-1 -1 3 2 4 4 4 2 2 3 3 4 4 2 0 1 4 1 1 -1 3 1 1 1 3 3 3 3 2 1 0 0 0 4 0 0 0 0 1 4 2 2 4 3 1 1 4 2 3 3 4 1 1 1 1 3 3 3 ,-1 3 3 2 2 ,58,1
3 3 2 2 3 4 4 2 2 3 4 4 0 1 1 1 1 -1 -1 -1 0 0 4 3 3 2 4 0 0 0 3 0 1 1 4 4 1 3 0 0 1 1 1 3 1 1 1 1 3 3 3 ,-1 -1 3 2 2 4 4 4 3 ,51,1
-1 -1 3 3 2 3 3 2 4 2 2 4 2 4 4 3 0 1 1 1 0 0 1 1 1 3 2 0 1 3 3 0 4 2 4 0 0 1 3 4 1 1 0 4 ,3 2 3 3 2 4 4 4 3 3 3 3 3 3 3 3 3 0 1 1 4 1 1 0 0 1 0 0 2 4 2 2 4 1 1 3 4 1 0 1 1 3 3 2 1 4 0 ,54,1
2 3 3 4 4 4 2 2 3 4 2 2 3 0 4 4 1 -1 -1 -1 0 0 4 4 1 3 0 0 1 0 0 0 2 1 1 0 1 1 1 2 4 1 1 0 0 3 3 ,2 2 4 4 4 2 2 3 3 3 0 4 1 1 3 1 1 0 3 2 2 4 1 0 0 1 0 0 1 1 0 0 0 1 4 2 0 1 1 1 1 1 1 4 0 0 ,47,1
-1 3 2 2 4 4 4 4 4 3 3 3 3 0 1 1 1 1 1 -1 -1 -1 0 1 1 1 3 2 2 4 3 3 1 0 4 2 1 1 0 0 1 1 2 3 3 1 4 1 3 3 ,-1 2 3 3 2 ,53,1
3 3 2 4 2 3 0 0 3 4 4 -1 -1 0 0 1 1 1 1 3 3 2 1 0 0 4 0 0 1 4 4 0 0 0 1 1 1 1 2 4 1 1 3 3 ,3 4 4 4 4 4 2 3 3 3 3 0 0 1 1 1 1 1 2 4 4 4 0 1 1 1 0 ,44,1
-1 3 3 4 3 3 3 3 3 0 0 4 -1 -1 0 1 1 1 1 1 3 2 1 3 3 1 0 0 3 1 1 4 4 0 0 0 4 1 4 3 1 1 ,3 3 2 3 3 4 4 4 3 3 3 3 0 0 1 1 1 3 1 1 0 0 2 3 1 3 1 1 4 3 3 3 2 2 3 1 1 1 0 ,45,1
-1 -1 3 2 4 4 4 2 4 4 4 4 -1 -1 -1 -1 4 4 1 3 3 3 2 2 3 0 0 3 0 1 4 4 2 2 4 0 0 4 2 2 1 4 3 1 1 3 ,2 2 3 2 4 ,51,1
-1 -1 2 4 4 4 3 4 4 2 3 1 4 4 -1 -1 1 1 1 2 2 1 0 0 4 0 3 1 4 4 1 1 0 0 1 1 1 1 0 1 3 3 ,2 3 4 4 2 2 3 3 3 3 0 3 4 1 4 1 3 2 2 2 4 0 0 4 3 1 0 3 1 1 1 1 3 3 3 ,45,1
3 3 2 2 3 3 4 2 4 4 4 3 3 3 3 0 0 0 -1 -1 -1 0 1 1 3 3 3 2 4 0 0 1 1 0 0 0 1 0 0 0 0 1 4 2 2 4 1 4 3 3 3 ,3 3 3 4 4 4 4 4 3 3 3 3 0 1 ,51,1
-1 -1 3 2 4 4 2 2 3 3 3 0 1 1 1 -1 -1 0 0 0 1 1 3 3 1 3 0 0 0 0 1 4 2 2 4 0 1 4 2 3 1 1 1 0 3 3 3 ,3 2 3 2 4 ,54,1
-1 3 2 2 4 4 4 2 3 3 2 0 0 1 1 1 4 -1 -1 -1 0 0 0 1 4 1 2 2 4 3 3 1 0 0 4 1 3 3 4 4 1 3 3 3 ,2 2 3 2 2 4 2 3 3 3 3 3 3 3 3 0 3 1 1 1 ,58,1
3 3 4 4 4 4 2 3 3 4 0 0 4 1 1 -1 -1 0 1 1 1 1 0 0 0 1 1 0 0 1 4 1 3 1 2 2 3 3 4 1 0 1 3 3 ,3 3 4 2 2 3 3 3 3 3 3 3 3 3 0 0 0 1 1 1 1 4 0 0 1 0 ,55,1
3 4 4 4 4 2 4 4 4 0 0 0 0 1 1 1 4 -1 -1 -1 -1 0 0 4 4 3 2 1 0 0 0 0 0 1 2 2 1 0 3 4 1 2 1 1 4 3 ,3 3 2 4 4 4 4 4 2 3 3 3 3 3 0 0 0 0 4 4 1 1 0 ,52,1
3 2 2 4 4 4 2 4 3 3 3 3 3 2 2 0 0 4 1 -1 0 0 1 1 1 3 2 2 1 0 3 1 1 0 0 0 4 1 0 0 1 3 3 1 3 4 3 ,-1 -1 2 2 3 2 4 4 4 4 4 3 3 3 3 3 3 3 3 3 0 0 1 4 1 1 4 4 0 2 2 4 0 0 1 1 0 1 1 0 1 1 1 3 3 3 3 2 3 1 1 4 1 ,59,1
-1 -1 3 2 4 4 4 4 4 3 3 3 3 3 4 2 0 1 1 1 1 1 -1 0 0 1 4 1 1 3 3 2 2 2 1 1 0 0 0 1 1 0 0 0 0 1 4 3 4 4 2 1 1 1 ,3 3 3 3 2 4 4 ,54,1
3 2 2 2 4 4 4 2 3 3 4 4 2 0 1 1 -1 -1 0 0 1 1 1 1 1 0 4 0 1 0 0 4 2 3 3 1 1 0 0 3 3 3 ,-1 -1 3 3 2 2 3 2 4 4 4 3 3 3 3 3 3 ,64,1
3 3 2 4 2 3 3 4 2 2 0 0 1 1 1 -1 -1 -1 3 0 1 1 1 1 3 3 4 0 0 0 0 1 0 0 0 0 0 1 4 4 1 0 0 1 4 2 1 1 1 0 1 3 ,-1 3 2 2 2 2 4 4 4 4 3 3 3 3 3 3 0 0 3 1 1 4 0 4 0 0 3 2 2 4 2 2 2 2 1 0 0 4 4 3 4 1 3 3 3 0 4 1 1 3 1 ,57,1
3 3 2 4 4 2 4 4 4 2 3 3 3 3 3 4 0 3 1 4 1 -1 -1 -1 3 0 4 1 1 1 3 3 2 2 2 4 0 1 3 0 0 2 1 3 0 1 1 2 3 1 1 1 3 4 3 3 3 ,3 3 2 4 4 3 3 3 3 3 3 3 3 0 3 ,57,1
-1 3 3 2 3 4 4 4 2 4 4 3 3 4 4 0 4 1 1 1 1 -1 -1 -1 0 0 1 1 1 2 2 4 0 3 1 1 0 0 1 1 3 4 1 1 2 3 3 0 1 1 3 3 ,-1 -1 3 2 3 2 4 4 4 2 3 3 3 3 3 3 3 3 0 3 1 1 4 4 1 ,56,1
-1 3 3 2 2 2 4 2 2 4 2 2 3 3 3 4 0 0 0 1 1 1 1 -1 -1 -1 -1 -1 0 0 0 1 1 1 3 3 3 3 1 1 0 0 0 1 0 4 4 0 0 0 0 4 3 1 1 0 1 3 ,-1 2 3 2 4 4 4 4 3 3 0 3 1 1 3 3 2 4 2 2 2 4 0 1 0 0 4 0 0 0 1 3 3 3 2 1 1 1 1 ,58,1
-1 -1 3 2 4 4 4 2 4 4 4 2 2 3 3 3 3 4 4 3 1 1 1 1 -1 -1 -1 4 1 1 1 3 2 2 2 1 0 0 1 1 0 0 1 4 4 1 0 0 0 1 1 1 1 1 0 1 3 3 3 3 ,-1 -1 3 3 3 4 4 4 4 4 4 3 3 3 3 3 3 0 0 1 1 4 3 0 3 2 2 4 4 2 1 1 0 1 1 1 1 0 0 1 1 1 ,60,1
-1 3 3 3 2 2 4 2 2 4 4 3 3 3 3 2 0 1 1 1 -1 -1 -1 0 0 0 1 1 1 3 1 0 0 0 1 0 3 1 4 2 2 4 0 1 1 4 3 1 1 4 1 1 3 ,2 3 2 4 4 2 2 3 3 3 3 3 3 3 3 3 3 0 0 1 1 4 1 1 0 0 0 0 2 4 2 4 2 2 2 4 0 1 0 1 0 3 1 1 1 1 3 2 3 4 1 ,60,1
-1 -1 2 2 4 4 4 2 4 2 2 3 3 3 0 1 1 1 -1 -1 -1 -1 0 1 1 2 2 1 3 0 0 0 1 1 4 4 1 1 0 0 1 4 1 1 1 1 3 ,-1 2 2 3 3 4 4 4 4 3 3 3 3 3 3 3 1 1 1 1 0 1 ,52,1
3 2 3 2 4 4 2 3 3 4 4 0 0 1 1 1 1 -1 -1 -1 -1 -1 3 0 4 1 1 1 3 3 2 2 2 1 0 0 3 1 0 0 0 0 2 1 1 0 0 4 1 1 0 3 ,-1 -1 2 2 2 4 4 4 2 3 3 3 3 3 3 0 1 1 4 4 1 0 0 0 2 4 1 0 3 1 1 0 0 1 3 ,52,1
-1 3 3 3 4 4 2 2 4 4 4 2 2 4 2 3 0 0 1 1 1 1 -1 -1 -1 -1 -1 0 0 1 1 3 3 2 2 2 4 0 0 0 0 0 0 0 0 1 4 4 0 0 0 0 1 1 1 1 2 1 0 1 3 3 3 ,-1 2 2 2 4 ,63,1
-1 -1 2 3 3 4 4 4 3 3 3 4 2 0 3 1 1 1 1 -1 -1 -1 0 0 0 0 1 1 4 3 3 2 2 0 0 0 1 0 0 0 0 4 2 3 4 1 1 2 3 1 1 1 1 0 0 1 3 3 3 ,3 3 2 3 3 2 2 4 4 2 3 3 3 ,59,1
-1 3 2 2 4 4 2 4 4 4 4 2 2 3 4 1 1 1 1 -1 -1 -1 0 4 1 1 3 2 2 2 1 1 3 0 1 3 0 0 4 1 1 1 1 2 3 3 1 4 0 4 3 3 3 ,-1 3 3 2 2 3 2 4 4 4 3 3 3 3 3 3 3 0 0 0 1 1 1 1 0 0 4 0 0 2 4 2 2 4 2 2 4 ,57,1
2 2 4 4 4 3 3 4 4 2 2 0 0 3 1 -1 -1 -1 0 0 1 1 1 1 3 2 2 1 3 0 0 1 3 0 0 4 4 0 0 1 1 1 3 3 0 1 3 ,-1 3 2 4 4 3 3 3 3 3 3 3 0 0 0 1 1 1 1 0 0 1 0 0 0 4 4 2 4 2 1 1 0 1 1 0 1 1 0 0 0 4 1 3 0 0 1 1 1 0 1 1 -1 0 4 ,57,1
-1 3 3 2 4 4 2 2 0 0 4 1 4 0 0 1 1 1 1 2 1 3 0 1 3 4 2 0 0 1 1 1 3 3 1 1 1 0 0 ,-1 3 2 3 2 4 4 4 4 2 2 3 3 3 3 ,57,1
-1 2 2 3 4 2 4 4 4 4 3 4 1 1 1 -1 -1 -1 -1 -1 0 1 4 1 3 3 2 2 4 0 3 1 3 0 0 1 3 0 1 1 1 3 3 ,-1 3 3 2 2 4 4 4 4 4 4 2 3 3 3 3 0 0 0 0 ,53,1
3 3 4 4 4 2 2 3 3 3 3 3 2 3 0 1 1 1 -1 -1 -1 0 0 4 4 3 3 3 2 2 1 3 0 0 0 1 4 4 1 0 0 0 1 1 1 1 4 0 1 1 3 ,-1 2 2 4 4 4 3 3 3 3 3 0 0 0 1 1 1 0 0 1 0 0 3 2 2 0 1 ,51,1
-1 3 2 3 4 4 4 2 2 4 4 4 4 2 2 3 3 4 2 2 3 0 0 1 1 1 1 1 -1 -1 -1 -1 0 0 1 1 4 3 2 2 2 2 1 1 3 0 1 0 0 0 0 1 4 2 1 0 0 1 1 1 1 0 0 1 1 3 3 3 3 ,-1 -1 3 3 4 4 4 3 3 ,69,1
